link ,Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
60cu_P3P.jpg,60cu_P3P.jpg,60,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.60555555555555,191.7277777777778,188.76666666666668
6cu_H3P.jpg,6cu_H3P.jpg,6,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.62222222222223,191.7722222222222,191.63333333333333
6cu_H4P.jpg,6cu_H4P.jpg,6,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.25555555555556,192.53333333333333,193.2277777777778
6cu_P4P.jpg,6cu_P4P.jpg,6,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.6611111111111,184.6888888888889,183.62777777777777
70cu_H3P.jpg,70cu_H3P.jpg,70,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,198.65,188.9388888888889,187.87222222222223
70cu_H4P.jpg,70cu_H4P.jpg,70,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,201.7277777777778,189.4777777777778,189.22222222222223
70cu_P3P.jpg,70cu_P3P.jpg,70,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.32777777777778,190.42222222222222,187.6611111111111
7cu_H3P.jpg,7cu_H3P.jpg,7,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.75555555555556,193.05555555555554,192.5222222222222
7cu_H4P.jpg,7cu_H4P.jpg,7,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.30555555555554,198.39444444444445,198.63888888888889
7cu_P4P.jpg,7cu_P4P.jpg,7,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.92222222222222,187.48333333333332,186.4777777777778
80cu_H3P.jpg,80cu_H3P.jpg,80,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,208.8111111111111,198.99444444444444,198.06666666666666
80cu_H4P.jpg,80cu_H4P.jpg,80,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,205.76111111111112,194.68333333333334,194.17777777777778
80cu_P3P.jpg,80cu_P3P.jpg,80,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.77777777777777,189.7722222222222,187.00555555555556
8cu_H3P.jpg,8cu_H3P.jpg,8,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.34444444444443,192.28333333333333,192.11666666666667
8cu_H4P.jpg,8cu_H4P.jpg,8,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.0222222222222,197.93333333333334,197.94444444444446
8cu_P4P.jpg,8cu_P4P.jpg,8,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,195.44444444444446,184.33333333333334,182.72222222222223
90cu_H3P.jpg,90cu_H3P.jpg,90,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.9,190.81666666666666,189.8111111111111
90cu_H4P.jpg,90cu_H4P.jpg,90,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.48888888888888,187.16666666666666,186.25555555555556
90cu_P3P.jpg,90cu_P3P.jpg,90,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,195.8,185.59444444444443,182.4611111111111
9cu_H3P.jpg,9cu_H3P.jpg,9,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.07222222222222,191.88333333333333,191.8
9cu_H4P.jpg,9cu_H4P.jpg,9,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.43333333333334,193.12222222222223,193.10555555555555
9cu_P4P.jpg,9cu_P4P.jpg,9,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.11111111111111,185.6,184.56666666666666
